month,nvda_p5,btc_p5,nvda_p10,btc_p10,nvda_p25,btc_p25,nvda_p50,btc_p50,nvda_p75,btc_p75,nvda_p90,btc_p90,nvda_p95,btc_p95,nvda_mean,btc_mean
1,90.14,70975.64,95.19,75827.76,103.65,85238.46,114.14,97399.86,125.94,110871.38,136.98,124882.62,143.85,133614.22,115.3,99135.87
2,85.08,63692.64,91.81,70657.57,104.12,83639.5,119.02,100749.47,136.9,120895.9,155.13,143906.91,166.59,158636.95,121.82,104459.51
3,83.16,59940.85,90.76,67800.07,105.35,83665.19,124.82,104187.42,148.16,130253.77,171.53,160357.15,187.26,180545.85,128.85,110124.76
4,82.35,57150.93,90.48,65573.22,107.41,83116.92,130.1,108054.1,158.99,140046.4,188.32,176727.1,208.29,203699.87,136.06,116270.88
5,81.08,54436.33,90.91,63894.8,110.17,83351.11,136.5,112051.01,169.64,149339.52,206.5,195258.14,232.04,226412.43,143.85,122551.05
6,80.7,52833.53,91.46,62595.71,112.69,83863.01,142.89,116090.45,181.2,159269.67,224.1,212282.41,254.6,252046.95,151.82,129291.84
7,80.84,51900.79,92.56,61878.06,116.22,84061.17,150.19,120069.58,193.89,169471.25,243.85,231125.72,277.8,276593.73,160.97,136370.76
8,81.24,50268.99,93.5,60980.41,118.95,85083.5,157.4,124073.63,206.85,180129.39,264.38,252837.12,307.83,304280.26,170.77,143753.43
9,81.81,48998.81,95.22,60434.85,122.86,86426.86,164.53,127974.42,219.7,190653.17,283.17,269926.01,331.73,333833.03,180.27,151391.86
10,81.72,48178.57,96.21,59744.19,126.35,87684.92,172.26,132620.87,233.53,200480.84,307.19,292829.98,360.13,367221.78,190.53,159841.69
11,82.72,48179.86,98.04,60339.45,130.6,88948.9,179.73,137847.75,246.38,213143.77,332.88,309540.23,395.56,399935.55,201.2,168499.15
12,83.64,47815.5,99.5,60037.7,134.88,89637.27,188.6,141677.25,261.87,223896.36,357.93,335546.02,429.69,425124.78,212.96,177180.1
13,84.52,46117.24,101.29,59724.47,138.74,91410.98,198.12,146361.12,278.09,237521.76,385.24,357692.06,461.87,464610.26,225.57,187043.74
14,84.73,45457.15,104.02,59920.28,142.23,92344.56,206.98,150990.3,297.24,247943.27,412.38,380830.5,497.78,490850.24,238.28,195918.77
15,85.61,45550.06,105.94,59959.16,147.43,93919.63,215.69,156068.59,314.72,261025.28,441.6,408089.56,544.09,532471.02,252.34,207070.11
16,88.23,45828.41,107.7,60491.02,151.96,95856.22,226.25,161926.13,332.16,277463.34,473.96,437974.74,582.86,578329.21,266.8,219183.86
17,88.27,45829.47,110.69,60806.27,158.65,97965.51,235.78,168996.47,353.7,290549.8,509.12,468413.55,625.91,621163.28,282.4,230505.21
18,90.02,44889.5,114.19,60697.11,164.4,100424.35,246.83,174621.94,375.54,307641.06,540.92,499141.51,671.26,668001.04,298.41,243600.03
19,92.11,44600.16,116.42,61558.88,170.66,101708.41,257.29,182125.25,391.49,323258.75,583.61,536271.88,734.56,719024.07,315.31,257385.26
20,93.85,44440.34,119.33,61476.35,176.36,103837.55,268.15,186904.34,414.25,338654.09,619.93,576062.67,780.21,764348.91,333.5,271297.38
21,95.65,44576.89,122.43,61323.95,183.07,106996.96,282.76,194893.61,440.97,358308.91,663.72,611861.09,842.97,833457.71,353.61,285694.14
22,97.69,44777.09,124.73,62495.13,190.08,108396.7,296.57,202768.51,466.37,372161.45,704.97,646753.93,901.18,910867.59,372.98,301465.54
23,99.65,44803.94,127.3,62698.34,195.23,110856.89,312.08,210709.99,493.02,390239.91,754.99,681963.39,970.2,948525.41,395.3,317371.83
24,103.37,44765.85,131.26,63907.97,201.93,112577.63,326.61,216760.38,522.12,406408.86,802.82,719091.01,1051.54,1006118.12,418.69,334817.39
